Symbol,Security,GICS Sector,Headquarters Location,Market Cap / B,Revenue (TTM) / B,Profit Margin / %,Earnings per Share (TTM) / $,Price to Earning ratio (TTM),Payout ratio / %,Recommendation Score
DOV,Dover Corporation,Industrials,"Downers Grove, Illinois",21.52B,8.47B,12.09%,7.28,21.13,27.82%,2.3
DOW,Dow Inc.,Materials,"Midland, Michigan",38.46B,45.86B,2.85%,1.84,29.80,152.17%,2.8
DHI,DR Horton,Consumer Discretionary,"Arlington, Texas",50.61B,35.46B,13.38%,13.81,11.00,7.24%,2.2
DTE,DTE Energy,Utilities,"Detroit, Michigan",22.74B,13.83B,8.99%,6.05,18.22,62.98%,1.9
DUK,Duke Energy,Utilities,"Charlotte, North Carolina",74.79B,28.75B,4.17%,4.73,20.52,85.41%,2.4
DD,DuPont,Materials,"Wilmington, Delaware",33.08B,12.27B,38.06%,1.97,39.05,71.57%,2.2
EMN,Eastman Chemical Company,Materials,"Kingsport, Tennessee",10.64B,9.38B,6.24%,4.98,18.04,63.45%,2.4
ETN,Eaton Corporation,Industrials,"Dublin, Ireland",96.16B,22.61B,13.24%,7.47,32.24,45.38%,2.2
EBAY,eBay,Consumer Discretionary,"San Jose, California",22.65B,10.06B,26.99%,4.98,8.76,19.48%,2.8
ECL,Ecolab,Materials,"Saint Paul, Minnesota",56.56B,15.05B,8.18%,4.30,46.02,49.19%,2.6
EIX,Edison International,Utilities,"Rosemead, California",27.42B,16.65B,7.41%,3.21,22.27,91.90%,2.5
EW,Edwards Lifesciences,Health Care,"Irvine, California",46.25B,5.82B,24.59%,2.34,32.59,0.00%,2.5
EA,Electronic Arts,Communication Services,"Redwood City, California",36.79B,7.59B,13.08%,3.62,37.68,20.94%,2.1
ELV,Elevance Health,Health Care,"Indianapolis, Indiana",110.80B,168.63B,3.63%,25.70,18.35,22.26%,1.8
LLY,Eli Lilly and Company,Health Care,"Indianapolis, Indiana",553.37B,32.07B,15.55%,5.54,105.60,79.17%,2.0
EMR,Emerson Electric,Industrials,"Ferguson, Missouri",55.63B,15.16B,87.17%,3.72,26.16,55.91%,2.0
ENPH,Enphase,Information Technology,"Fremont, California",18.04B,2.71B,21.08%,3.99,33.12,0.00%,2.4
ETR,Entergy,Utilities,"New Orleans, Louisiana",21.40B,12.7B,11.62%,6.94,14.58,61.67%,2.0
EOG,EOG Resources,Energy,"Houston, Texas",70.53B,23.73B,33.22%,13.49,8.97,23.92%,2.2
EPAM,EPAM Systems,Information Technology,"Newtown, Pennsylvania",17.16B,4.76B,9.96%,8.03,37.07,0.00%,2.4
EQT,EQT,Energy,"Pittsburgh, Pennsylvania",15.90B,6.18B,47.67%,7.30,5.30,8.22%,2.2
EFX,Equifax,Industrials,"Atlanta, Georgia",30.47B,5.14B,10.15%,4.23,58.60,36.97%,2.0
EQIX,Equinix,Real Estate,"Redwood City, California",75.61B,7.49B,11.62%,9.26,86.70,143.49%,2.0
EQR,Equity Residential,Real Estate,"Chicago, Illinois",23.22B,2.85B,23.99%,1.74,35.21,150.41%,2.7
ESS,Essex Property Trust,Real Estate,"San Mateo, California",15.91B,1.7B,30.95%,8.16,30.42,112.02%,3.0
EL,Estée Lauder Companies (The),Consumer Staples,"New York City, New York",52.34B,15.5B,3.54%,1.54,95.59,172.55%,2.5
ETSY,Etsy,Consumer Discretionary,"New York City, New York",9.71B,2.71B,12.30%,2.47,32.82,0.00%,2.6
EG,Everest Re,Financials,"Hamilton, Bermuda",15.34B,14.15B,15.61%,54.10,6.53,12.38%,1.8
EVRG,Evergy,Utilities,"Kansas City, Missouri",11.99B,5.6B,12.16%,2.96,17.64,82.77%,2.6
ES,Eversource,Utilities,"Hartford, Connecticut",21.56B,12.25B,9.52%,3.34,18.48,79.72%,2.5
EXC,Exelon,Utilities,"Chicago, Illinois",35.75B,21.03B,10.19%,2.15,16.70,65.93%,2.4
EXPE,Expedia Group,Consumer Discretionary,"Seattle, Washington",21.08B,12.57B,6.70%,5.47,27.80,0.00%,2.5
EXPD,Expeditors International,Industrials,"Seattle, Washington",18.49B,10.46B,7.77%,5.34,23.82,25.47%,3.4
EXR,Extra Space Storage,Real Estate,"Salt Lake City, Utah",33.87B,2.32B,34.13%,5.31,30.25,120.00%,2.5
XOM,ExxonMobil,Energy,"Irving, Texas",399.60B,350.39B,11.74%,10.07,9.93,36.15%,2.2
FFIV,"F5, Inc.",Information Technology,"Seattle, Washington",10.69B,2.81B,14.04%,6.55,27.33,0.00%,3.0
FDS,FactSet,Financials,"Norwalk, Connecticut",18.12B,2.12B,22.61%,12.36,38.60,30.99%,2.9
FICO,Fair Isaac,Information Technology,"Bozeman, Montana",28.77B,1.51B,28.37%,16.88,68.75,0.00%,2.4
FAST,Fastenal,Industrials,"Winona, Minnesota",37.02B,7.28B,15.57%,1.98,32.71,68.69%,3.0
FRT,Federal Realty,Real Estate,"Rockville, Maryland",8.41B,1.12B,25.67%,3.44,29.96,125.87%,2.3
FDX,FedEx,Industrials,"Memphis, Tennessee",63.22B,87.95B,4.87%,16.85,15.00,28.59%,2.1
FIS,Fidelity National Information Services,Financials,"Jacksonville, Florida",35.59B,14.65B,-165.73%,-27.76,,117.65%,2.1
FITB,Fifth Third Bank,Financials,"Cincinnati, Ohio",23.49B,8.23B,31.05%,3.51,9.83,38.18%,2.0
FSLR,First Solar,Information Technology,"Tempe, Arizona",18.40B,3.16B,14.99%,4.43,38.97,0.00%,2.0
FE,FirstEnergy,Utilities,"Akron, Ohio",21.04B,12.71B,4.12%,0.95,38.59,164.21%,2.5
FI,Fiserv,Financials,"Brookfield, Wisconsin",79.73B,18.81B,15.85%,4.77,27.85,0.00%,2.1
FLT,Fleetcor,Financials,"Atlanta, Georgia",20.41B,3.7B,25.68%,12.77,22.15,0.00%,2.1
FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania",7.87B,4.96B,10.01%,4.70,13.41,49.36%,2.6
F,Ford Motor Company,Consumer Discretionary,"Dearborn, Michigan",48.80B,174.23B,3.54%,1.53,7.97,39.22%,2.7
FTNT,Fortinet,Information Technology,"Sunnyvale, California",44.95B,5.17B,22.25%,1.44,40.65,0.00%,2.4
FTV,Fortive,Industrials,"Everett, Washington",25.88B,6.01B,13.77%,2.33,31.60,12.02%,2.1
FOXA,Fox Corporation (Class A),Communication Services,"New York City, New York",13.85B,14.93B,6.97%,2.05,14.47,24.88%,2.9
FOX,Fox Corporation (Class B),Communication Services,"New York City, New York",13.85B,14.93B,6.97%,2.05,13.49,24.88%,
BEN,Franklin Templeton,Financials,"San Mateo, California",14.76B,7.85B,11.25%,1.72,17.32,69.77%,3.5
FCX,Freeport-McMoRan,Materials,"Phoenix, Arizona",61.04B,22.71B,9.50%,1.50,28.38,40.00%,2.4
GRMN,Garmin,Consumer Discretionary,"Schaffhausen, Switzerland",24.59B,5.05B,20.60%,5.42,23.72,53.87%,2.7
IT,Gartner,Information Technology,"Stamford, Connecticut",35.16B,5.83B,15.97%,11.64,38.79,0.00%,2.3
GEHC,GE HealthCare,Health Care,"Chicago, Illinois",35.21B,19.28B,8.91%,3.37,22.95,1.78%,2.2
GEN,Gen Digital,Information Technology,"Tempe, Arizona",14.61B,3.78B,37.54%,2.23,10.23,22.42%,2.0
GNRC,Generac,Industrials,"Waukesha, Wisconsin",7.94B,4.01B,4.72%,2.53,51.08,0.00%,2.2
GD,General Dynamics,Industrials,"Falls Church, Virginia",70.86B,41.46B,7.96%,11.97,21.69,43.61%,2.1
GE,General Electric,Industrials,"Boston, Massachusetts",138.91B,83.81B,11.90%,9.61,13.28,3.33%,1.9
GIS,General Mills,Consumer Staples,"Golden Valley, Minnesota",36.99B,20.2B,12.06%,4.11,15.85,54.99%,3.0
GM,General Motors,Consumer Discretionary,"Detroit, Michigan",49.19B,171.97B,5.83%,7.12,5.04,5.06%,2.1
GPC,Genuine Parts Company,Consumer Discretionary,"Atlanta, Georgia",19.42B,23.03B,5.43%,8.86,15.63,42.27%,2.5
GILD,Gilead Sciences,Health Care,"Foster City, California",100.95B,27.39B,21.45%,4.67,17.35,63.81%,2.5
GPN,Global Payments,Financials,"Atlanta, Georgia",33.07B,9.47B,9.23%,3.28,38.72,30.49%,1.9
GL,Globe Life,Financials,"McKinney, Texas",11.46B,5.36B,14.63%,8.09,15.05,10.91%,2.5
GS,Goldman Sachs,Financials,"New York City, New York",125.80B,44.11B,17.76%,20.75,18.60,49.42%,2.3
HAL,Halliburton,Energy,"Houston, Texas",32.36B,22.86B,11.52%,2.91,12.42,20.62%,1.7
HIG,Hartford (The),Financials,"Hartford, Connecticut",24.18B,24.17B,9.60%,7.27,11.06,23.38%,2.2
